s,hashtag,sentiment,comments
,DemocraciaMarcaEspaña,pro,
*,CataluñaLibre,pro,
,RepúblicaCatalana,pro,
*,IndependenciaCataluña,pro,
,FreePiolin,pro,
,TotsSomCatalunya,pro,
,1ONoTincPor,pro,"I'm not afraid"
,SpanishDictatorship,pro,
,spainispain,pro,
,CATvotaSí,pro,
,SpanishRepression,pro,
,LetCatalansVote,pro,
,Freedom4Catalonia,pro,
,marxem,pro,"let's march"
,1octL6,pro,L6 appears to be a metro station - maybe where clashes started?
,ProuPuigdemont,anti,
,OrgullososDeSerEspañoles,anti,
,NoALosPaísesCatalanes,anti,
*,CataluñaEsEspaña,anti,
,BarcelonaEsEspaña,anti,
,LongLiveTheUnityOfSpain,anti,
*,EspañaUnida,anti,
,EspanaNoSeRompe,anti,
,ProuPuigdemont,anti,
,DefiendeEspaña,anti,
,DontDUIt,anti,
,PorLaUnidadDeEspaña,anti,
,contralaindependencia,anti,
,CataloniaIsNotSpain,pro,
*,CatalanReferendum,neut,
,ReferendumCatalan,neut,
,1Oct,neut,
,referendumCAT,neut,
,Votarem,neut,
,referéndum,neut,
,1O,neut,
,CatalanReferendum2017,neut,
,JoVoto,neut,
,1Oct2017,neut,
,1Oct2017votarem,neut,
,ref1oct,neut,
,CatalanIndyref,neut,
,CatalanRef2017,neut,
,referendum1deoctubre,neut,
,Ref1oct,neut,
,DefiendeLaDemocracia,neut,well - both
